,SNP,CHR_igv,BP,EFFECTSIZE,SE,P,snps_class_up,snps_class_down,locus_id,GENE,sgd_id
825,826,II,757162,0.171858483023227,0.181543241803208,0.344463101779178,Close to 3'-UTR,Close to 3'-UTR,YBR275C,RIF1,SGDID:S000000479
826,827,II,758111,-0.109591284190019,0.144741477739488,0.449463946185326,ORF,Verified ORF,YBR276C,PPS1,SGDID:S000000480
827,828,II,760471,0.0056015642192247,0.144136068605276,0.969021562079999,ORF,Dubious ORF,YBR277C,YBR277C,SGDID:S000000481
828,829,II,762267,0.0246637224407234,0.14387946077062,0.863992268470751,ORF,Verified ORF,YBR279W,PAF1,SGDID:S000000483
829,830,II,764689,-0.0504901862460634,0.144248148491621,0.726530097643542,ORF,Verified ORF,YBR280C,SAF1,SGDID:S000000484
830,831,II,767731,-0.0445085195059251,0.144895098036414,0.758889374989221,Promoter,Promoter,YBR281C_NFR/NDR,,
831,832,II,769972,-0.0795112954679659,0.143823200423002,0.580722518995422,ORF,Verified ORF,YBR283C,SSH1,SGDID:S000000487
832,833,II,772699,-0.100525561322849,0.147033918710437,0.494619720582419,ORF,Uncharacterized ORF,YBR284W,YBR284W,SGDID:S000000488
833,834,II,773629,-0.0325018174433677,0.144103231543055,0.821685551653495,ORF,Uncharacterized ORF,YBR284W,YBR284W,SGDID:S000000488
834,835,II,773703,-0.272032569091758,0.307562636914738,0.377039942276788,Promoter,Promoter,YBR285W_NFR/NDR,,
835,836,II,774509,-0.197288096391928,0.16580196603002,0.234884562144514,Promoter,Promoter,YBR286W_NFR/NDR,,
836,837,II,774669,-0.132554224890547,0.157902073595483,0.401773163442092,Promoter,Promoter,YBR286W_NFR/NDR,,
837,838,II,774837,-0.123577939889895,0.14412316947579,0.391779802074208,ORF,Verified ORF,YBR286W,APE3,SGDID:S000000490
838,839,II,777253,-0.0528451372727779,0.144325755137748,0.714471136550555,ORF,Uncharacterized ORF,YBR287W,YBR287W,SGDID:S000000491
839,840,II,778895,-0.0814780637395583,0.144098465369844,0.572138315188777,ORF,Verified ORF,YBR288C,APM3,SGDID:S000000492
840,841,II,779029,-0.0603557794159575,0.14656015299168,0.680724417722323,ORF,Verified ORF,YBR288C,APM3,SGDID:S000000492
841,842,II,780187,-0.0667162789797546,0.144597451454384,0.644800712369793,ORF,Verified ORF,YBR289W,SNF5,SGDID:S000000493
842,843,II,780404,-0.0294210734323812,0.183124480779256,0.872451831019742,ORF,Verified ORF,YBR289W,SNF5,SGDID:S000000493
843,844,II,780425,-0.576437961885628,0.380448675801102,0.130628547565177,ORF,Verified ORF,YBR289W,SNF5,SGDID:S000000493
844,845,II,780443,-0.0849327685621302,0.183264847426473,0.643332638798658,ORF,Verified ORF,YBR289W,SNF5,SGDID:S000000493
845,846,II,780545,-0.0589840996355161,0.144606971934886,0.683599875124244,ORF,Verified ORF,YBR289W,SNF5,SGDID:S000000493
846,847,II,782605,-0.093377284525233,0.144006263390832,0.517131572127399,ORF,Verified ORF,YBR290W,BSD2,SGDID:S000000494
847,848,II,784284,-0.0905839534864924,0.144111564117466,0.530038244093989,ORF,Verified ORF,YBR291C,CTP1,SGDID:S000000495
848,849,II,785333,-0.0351112449068247,0.144535873539694,0.808205298449008,Unstable transcript,CUT,CUT039,,
849,850,II,786434,-0.15296253828153,0.144964490910673,0.292068098174956,Unstable transcript,SUT,SUT023,,
850,851,II,787182,-0.126398910914753,0.145834432219689,0.38667933504123,ORF,Verified ORF,YBR293W,VBA2,SGDID:S000000497
851,852,II,787277,-0.123243851575713,0.145346125785401,0.397049566320338,ORF,Verified ORF,YBR293W,VBA2,SGDID:S000000497
852,853,II,788140,-0.087793562153399,0.144703863926567,0.544432093942028,ORF,Verified ORF,YBR293W,VBA2,SGDID:S000000497
853,854,II,789108,-0.190523976313044,0.292348876758174,0.515018318143372,Promoter,Promoter,YBR294W_NFR/NDR,,
854,855,II,789465,-0.022168339820507,0.145188131177105,0.878732351229453,ORF,Verified ORF,YBR294W,SUL1,SGDID:S000000498
855,856,II,789530,-0.0211089514192446,0.145261943646414,0.884543957483652,ORF,Verified ORF,YBR294W,SUL1,SGDID:S000000498
856,857,II,790356,-0.0570941042675385,0.144941649570139,0.693884615338852,ORF,Verified ORF,YBR294W,SUL1,SGDID:S000000498
857,858,II,790998,-0.0801548611039213,0.145015124512481,0.58079506513324,ORF,Verified ORF,YBR294W,SUL1,SGDID:S000000498
858,859,II,791790,-0.0465102752793187,0.145171820754542,0.748869181963035,ORF,Verified ORF,YBR294W,SUL1,SGDID:S000000498
859,860,II,792149,-0.0354725771117952,0.148622836092694,0.811495988121306,Promoter,Promoter,XUT_2R-343_NFR/NDR,,
860,861,II,792199,-0.102708857730025,0.149514482863239,0.492565757904031,Promoter,Promoter,XUT_2R-343_NFR/NDR,,
861,862,II,792233,-0.104795727344455,0.152897536819249,0.49354239301653,Other features,Replication,ARS228,ARS228,SGDID:S000118355
862,863,II,794032,-0.0450244071375564,0.144363012012504,0.755313372554252,ORF,Verified ORF,YBR295W,PCA1,SGDID:S000000499
863,864,II,794999,-0.0574160196022302,0.143852993193526,0.690038900080547,ORF,Verified ORF,YBR295W,PCA1,SGDID:S000000499
864,865,II,797599,-0.0371505344974783,0.144100048846206,0.796703236556682,ORF,Verified ORF,YBR296C,PHO89,SGDID:S000000500
865,866,II,799021,-0.103424490213572,0.14499082198054,0.47612061562465,Close to 3'-UTR,Close to 3'-UTR,YBR296C,PHO89,SGDID:S000000500
866,867,II,799317,-0.082701242930869,0.148245984400307,0.577290199677981,Close to 3'-UTR,Close to 3'-UTR,YBR296C,PHO89,SGDID:S000000500
867,868,II,799494,-0.0774874658774533,0.143887546441954,0.59055202968396,Close to 3'-UTR,Close to 3'-UTR,YBR296C,PHO89,SGDID:S000000500
868,869,II,799991,-0.0711175121192145,0.144114004880494,0.62197968981399,Close to 3'-UTR,Close to 3'-UTR,YBR296C-A,TYC1,SGDID:S000028605
869,870,II,800811,-0.0169164310459125,0.14463824369842,0.906960772992095,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
870,871,II,801661,-0.129658867611938,0.152064445024295,0.394427487282682,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
871,872,II,801662,-0.109644957054543,0.151884113273619,0.470834618998277,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
872,873,II,801665,-0.128346295772783,0.306668542500047,0.675822959542407,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
873,874,II,801676,-0.608088302463731,0.224541313116231,0.0070956551725383,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
874,875,II,801677,-0.529067102862101,0.222288314922227,0.0178386004926456,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
875,876,II,801689,-1.41512884982274,0.670388636858055,0.0354829402958484,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
876,877,II,801690,-1.41512884982274,0.670388636858055,0.0354829402958484,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
877,878,II,801782,-0.384399355210842,0.336682200386439,0.254341153121245,ORF,Verified ORF,YBR297W,MAL33,SGDID:S000000501
878,879,II,802096,-0.0036199787696045,0.149144136358596,0.980649616921311,Close to 3'-UTR,Close to 3'-UTR,YBR297W,MAL33,SGDID:S000000501
879,880,II,802200,0.130332147411296,0.184599942543107,0.480638371753843,Close to 3'-UTR,Close to 3'-UTR,YBR297W,MAL33,SGDID:S000000501
880,881,II,802300,0.201302766542806,0.172833253960356,0.244917875124961,Close to 3'-UTR,Close to 3'-UTR,YBR297W,MAL33,SGDID:S000000501
881,882,II,802607,0.0420695609699298,0.14806795095021,0.776482444371211,Close to 3'-UTR,Close to 3'-UTR,YBR297W,MAL33,SGDID:S000000501
882,883,II,802702,-0.0658322769015118,0.183540620225925,0.720049208085521,ORF,Verified ORF,YBR298C,MAL31,SGDID:S000000502
883,884,II,803024,-0.119722859014263,0.183184036475296,0.513816939671434,ORF,Verified ORF,YBR298C,MAL31,SGDID:S000000502
884,885,II,803493,0.0640934772917428,0.183263086555098,0.726746299832069,ORF,Verified ORF,YBR298C,MAL31,SGDID:S000000502
885,886,II,804707,0.052810211655793,0.145519645042568,0.716890975005218,Close to 3'-UTR,Close to 3'-UTR,YBR298C,MAL31,SGDID:S000000502
886,887,III,450,-0.214901986203186,0.150645813084404,0.154596913599551,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
887,888,III,483,-0.141383260782574,0.151537858289347,0.351462992068245,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
888,889,III,493,-0.0805736080954267,0.152088150322799,0.59659592820005,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
889,890,III,506,-0.127144772659655,0.287257317457213,0.658314375277744,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
890,891,III,550,-0.0781580365916241,0.153139193392883,0.610109489996165,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
891,892,III,583,-0.0431452697256023,0.160011315929195,0.787595646579504,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
892,893,III,612,0.185194287370972,0.327170409512124,0.571720534918711,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
893,894,III,617,0.0524905402911848,0.329638063469578,0.873573306993649,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
894,895,III,658,0.156399683631501,0.323425621769259,0.628989231045412,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
895,896,III,757,0.463843767535137,0.310168919739047,0.135689087438063,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
896,897,III,776,0.116522159131886,0.289367610818947,0.687428388624773,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
897,898,III,780,0.460075308683485,0.327557411199159,0.161030288405324,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
898,899,III,929,0.0492154305442076,0.196100825502014,0.801983299613933,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
899,900,III,931,0.0444515122590348,0.196492359020474,0.821157248214812,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
900,901,III,951,0.0999816949428869,0.289800897377737,0.730298842114318,Other features,Telomere,TEL03L,TEL03L,SGDID:S000028871
901,902,III,1349,0.286823759791261,0.29969948032359,0.339203101996427,Other features,LTR,YCLWomega1,YCLWomega1,SGDID:S000006828
902,903,III,1357,0.143721365851786,0.297503944064947,0.629330869204679,Other features,LTR,YCLWomega1,YCLWomega1,SGDID:S000006828
903,904,III,1886,0.258475424568808,0.145689245005256,0.0768992889159728,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
904,905,III,1933,0.300099282522492,0.143715917112704,0.0375012811172543,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
905,906,III,2644,0.018292937112848,0.160066913814219,0.909078381397446,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
906,907,III,2869,0.205552064389605,0.145579010465497,0.158841974909588,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
907,908,III,2926,-0.0955359922083945,0.178473792623555,0.592783468966135,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
908,909,III,3249,0.203741921711172,0.146836810968689,0.166152502271506,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
909,910,III,3277,0.190967286050989,0.145887293931225,0.191383928274382,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
910,911,III,3939,0.262942515051475,0.150001103785623,0.0804808398548487,Other features,LTR retrotransposon,YCLWTy5-1,YCLWTy5-1,SGDID:S000006831
911,912,III,4582,0.0258266570631536,0.174193310252095,0.882218808352354,Close to 3'-UTR,Close to 3'-UTR,YCL074W,YCL074W,SGDID:S000000579
912,913,III,4794,0.210496142498667,0.187830623954588,0.263190197735916,Intergenic region,Intergenic region,C:4323-6478,,
913,914,III,5784,-0.0035126027783469,0.311943038840514,0.991022053231925,Close to 3'-UTR,Close to 3'-UTR,YCL073C,GEX1,SGDID:S000000575
914,915,III,6078,0.662216266105716,0.285869345765255,0.021103028404676,Close to 3'-UTR,Close to 3'-UTR,YCL073C,GEX1,SGDID:S000000575
915,916,III,6190,0.688086254029214,0.28638555835119,0.0167921077726959,Close to 3'-UTR,Close to 3'-UTR,YCL073C,GEX1,SGDID:S000000575
916,917,III,7958,0.367739322485124,0.208045576875226,0.0779933102436802,ORF,Verified ORF,YCL073C,GEX1,SGDID:S000000575
917,918,III,8528,0.68711219782072,0.204005810808801,0.000840372269222,Promoter,Promoter,YCL073C_NFR/NDR,,
918,919,III,8743,0.583558159792046,0.238768361866749,0.0150128652567879,Close to 3'-UTR,Close to 3'-UTR,YCL073C,GEX1,SGDID:S000000575
919,920,III,9047,0.750513457861652,0.291910792486686,0.0105484433274339,Close to 3'-UTR,Close to 3'-UTR,YCL073C,GEX1,SGDID:S000000575
920,921,III,11280,0.371994557267381,0.155795532030633,0.0174791185863215,Other features,Replication,ARS301,ARS301,SGDID:S000028477
921,922,III,13866,0.593951497820525,0.291137485394308,0.0420835953010682,Other features,Mating-related region,HML,HML,SGDID:S000029214
922,923,III,14069,0.407694081208058,0.144896977474213,0.0051720482960018,Other features,Mating-related region,HML,HML,SGDID:S000029214
923,924,III,16356,0.373995663538788,0.142869151738979,0.0092321485155288,ORF,Verified ORF,YCL064C,CHA1,SGDID:S000000569
924,925,III,21337,0.408350675396663,0.142884881609586,0.0045175139411918,ORF,Verified ORF,YCL061C,MRC1,SGDID:S000000566
925,926,III,22384,0.681548133307425,0.291278916026396,0.0198483670668911,Close to 3'-UTR,Close to 3'-UTR,YCL061C,MRC1,SGDID:S000000566
926,927,III,23991,0.546340971482307,0.288387416502431,0.0589799013650464,Close to 3'-UTR,Close to 3'-UTR,YCL059C,KRR1,SGDID:S000000564
927,928,III,25563,0.348310529566909,0.144624351404132,0.0165353861834485,ORF,Verified ORF,YCL057W,PRD1,SGDID:S000000562
928,929,III,27063,0.381475993906947,0.145467471354467,0.0091091447636898,ORF,Verified ORF,YCL056C,PEX34,SGDID:S000000561
929,930,III,27658,-0.0522134273463912,0.205030874406559,0.799133005789209,Promoter,Promoter,YCL055W_NFR/NDR,,
930,931,III,29113,0.297304481806992,0.156212370700168,0.0578267672735478,Other features,Recombination enhancer,RE301,RE,SGDID:S000303804
931,932,III,30748,0.269066313160466,0.150827610780371,0.0752934895247067,Promoter,Promoter,YCL054W-A_NFR/NDR,,
932,933,III,31109,0.259792985847312,0.145431940419328,0.0749000239969832,Close to 3'-UTR,Close to 3'-UTR,YCL054W-A,RDT1,SGDID:S000178054
933,934,III,37651,0.329038357518974,0.171291503264017,0.0555461661994208,Close to 3'-UTR,Close to 3'-UTR,YCL051W,LRE1,SGDID:S000000556
934,935,III,39540,0.120698874110084,0.168277953248643,0.4736886468961,Other features,Replication,ARS305,ARS305,SGDID:S000028482
935,936,III,40865,-0.0082645897088963,0.146801127628554,0.955136372964175,Promoter,Promoter,YCL049C_NFR/NDR,,
936,937,III,41458,-0.0747987647588301,0.147175575797434,0.611610822824192,Promoter,Promoter,YCL048W-A_NFR/NDR,,
937,938,III,45881,-0.161151904576044,0.145819167153065,0.269847708721077,ORF,Verified ORF,YCL045C,EMC1,SGDID:S000000550
938,939,III,46486,-0.107928501299389,0.144859647260085,0.456733825173217,ORF,Verified ORF,YCL045C,EMC1,SGDID:S000000550
939,940,III,47344,-0.0551193410667211,0.144739180415907,0.703567087763153,ORF,Verified ORF,YCL044C,MGR1,SGDID:S000000549
940,941,III,48180,-0.0909982783552383,0.144277605657079,0.528633973515205,ORF,Verified ORF,YCL044C,MGR1,SGDID:S000000549
941,942,III,48299,-0.131324333922266,0.144359322594811,0.363599047770393,ORF,Verified ORF,YCL044C,MGR1,SGDID:S000000549
942,943,III,48656,-0.106316826004726,0.145910603572766,0.46670281545593,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
943,944,III,48764,-0.120903998034132,0.144625816675514,0.40373279253871,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
944,945,III,49187,-0.2131244075712,0.144686145662917,0.141638923023723,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
945,946,III,49221,-0.209345534600571,0.144701773648644,0.148857728696329,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
946,947,III,49250,-0.199437205444456,0.144643635423359,0.168824037430782,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
947,948,III,49783,-0.257343570336993,0.145447848352231,0.0777040977636483,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
948,949,III,49785,-0.257343570336993,0.145447848352231,0.0777040977636483,ORF,Verified ORF,YCL043C,PDI1,SGDID:S000000548
949,950,III,50550,-0.179588438828217,0.179121530964922,0.316737450156455,Unstable transcript,SUT,SUT026,,
950,951,III,50551,0.0126633378211876,0.165750593308849,0.939144187272182,Unstable transcript,SUT,SUT026,,
951,952,III,52350,-0.137019208559243,0.144363867388373,0.343206883968273,Promoter,Promoter,YCL039W_NFR/NDR,,
952,953,III,52792,0.0156036271178879,0.143824199663807,0.913667883062767,ORF,Verified ORF,YCL039W,GID7,SGDID:S000000544
953,954,III,54110,-0.228845126227416,0.143273608183378,0.111102627973751,ORF,Verified ORF,YCL039W,GID7,SGDID:S000000544
954,955,III,56674,-0.228972720825086,0.143551736587016,0.111595118190579,Promoter,Promoter,YCL038C_NFR/NDR,,
955,956,III,56833,-0.482675919103816,0.28870900500864,0.095441554233959,Close to 3'-UTR,Close to 3'-UTR,YCL038C,ATG22,SGDID:S000000543
956,957,III,56833,-0.594573878557136,0.627567849353991,0.344070033537423,Close to 3'-UTR,Close to 3'-UTR,YCL038C,ATG22,SGDID:S000000543
957,958,III,56979,-0.310884555539434,0.148462686636513,0.0369705717243582,Close to 3'-UTR,Close to 3'-UTR,YCL038C,ATG22,SGDID:S000000543
958,959,III,57055,-0.332094657186629,0.450240528883138,0.461251283785553,Close to 3'-UTR,Close to 3'-UTR,YCL038C,ATG22,SGDID:S000000543
959,960,III,57071,-0.401721620229426,0.428267162331944,0.348877323892753,Close to 3'-UTR,Close to 3'-UTR,YCL038C,ATG22,SGDID:S000000543
960,961,III,59518,-0.0477034810236719,0.144425850730463,0.741371206970375,ORF,Verified ORF,YCL036W,GFD2,SGDID:S000000541
961,962,III,59758,-0.0473193232080277,0.143994970489687,0.742639381447915,ORF,Verified ORF,YCL036W,GFD2,SGDID:S000000541
962,963,III,61460,0.0649562352270276,0.144898682075811,0.654220907365545,Promoter,Promoter,YCL034W_NFR/NDR,,
963,964,III,61462,0.0649562352270276,0.144898682075811,0.654220907365545,Promoter,Promoter,YCL034W_NFR/NDR,,
964,965,III,61544,0.0663065289820152,0.146748533530798,0.651663359016919,Promoter,Promoter,YCL034W_NFR/NDR,,
965,966,III,62729,0.162890970096773,0.143748971133957,0.257914977716418,Close to 3'-UTR,Close to 3'-UTR,YCL034W,LSB5,SGDID:S000000539
966,967,III,63929,0.0586900649101471,0.144343382901585,0.684547967628148,ORF,Verified ORF,YCL032W,STE50,SGDID:S000000537
967,968,III,64656,0.123288850049124,0.155106572898921,0.427225886243819,Close to 3'-UTR,Close to 3'-UTR,YCL032W,STE50,SGDID:S000000537
968,969,III,67277,-0.0408065141426528,0.146354598327929,0.780546624988495,ORF,Verified ORF,YCL030C,HIS4,SGDID:S000000535
969,970,III,68046,-0.0329197203272933,0.147185023065818,0.82314957340848,ORF,Verified ORF,YCL030C,HIS4,SGDID:S000000535
970,971,III,68178,-0.0389084155112396,0.146749905390685,0.791060855190254,ORF,Verified ORF,YCL030C,HIS4,SGDID:S000000535
971,972,III,69265,0.0541573765913486,0.149213630167871,0.716858016713997,Unstable transcript,CUT,CUT041,,
972,973,III,72402,-0.0671434973612854,0.150269357269811,0.655278346167721,ORF,Verified ORF,YCL027W,FUS1,SGDID:S000000532
973,974,III,72790,-0.105304899990663,0.150207313521943,0.483725116192654,ORF,Verified ORF,YCL027W,FUS1,SGDID:S000000532
974,975,III,74472,-0.158523955914533,0.154709081410416,0.306226061671356,Other features,Replication,ARS306,ARS306,SGDID:S000028483
975,976,III,75264,-0.203712086837062,0.153062881895217,0.184079401898569,ORF,Verified ORF,YCL026C-A,FRM2,SGDID:S000000589
976,977,III,75503,-0.186994484301412,0.154900307759552,0.228166307573159,Promoter,Promoter,YCL026C-A_NFR/NDR,,
977,978,III,75863,-0.164759423241954,0.157087508085669,0.29497001616186,Close to 3'-UTR,Close to 3'-UTR,YCL026C-A,FRM2,SGDID:S000000589
978,979,III,76131,-0.149357933285223,0.154299250741639,0.33371920173451,ORF,Verified ORF,YCL025C,AGP1,SGDID:S000000530
979,980,III,76147,-0.156622013118855,0.153917833900788,0.309579740116777,ORF,Verified ORF,YCL025C,AGP1,SGDID:S000000530
980,981,III,78480,-0.136300233089524,0.16222251330269,0.401361938091183,Close to 3'-UTR,Close to 3'-UTR,YCL025C,AGP1,SGDID:S000000530
981,982,III,79867,-0.455125360762133,0.160770526876505,0.0049075741105658,ORF,Verified ORF,YCL024W,KCC4,SGDID:S000000529
982,983,III,80341,-0.483073751862083,0.161655831033016,0.0030019001070296,ORF,Verified ORF,YCL024W,KCC4,SGDID:S000000529
983,984,III,80444,-0.481285383264756,0.162235938699834,0.0032165270276165,ORF,Verified ORF,YCL024W,KCC4,SGDID:S000000529
984,985,III,82672,-0.506025650536055,0.288178224599634,0.0799646976808771,Promoter,Promoter,tE(UUC)C_NFR/NDR,,
985,986,III,82706,1.65772164285859,1.21933801441862,0.174847782622016,Other features,LTR,YCLWdelta15,YCLWdelta15,SGDID:S000126593
986,987,III,84195,-0.48798673515978,0.327442964693845,0.137039553615527,Other features,LTR,YCLWdelta2a,YCLWdelta2a,SGDID:S000006823
987,988,III,84421,-0.348852925848717,0.322420742600302,0.279999799195301,Other features,LTR,YCLWdelta3,YCLWdelta3,SGDID:S000006825
988,989,III,84495,-0.455156284060195,0.365053825368813,0.213290292648368,Other features,LTR,YCLWdelta3,YCLWdelta3,SGDID:S000006825
989,990,III,84735,-0.389762749273409,0.167542059575657,0.0205650518348914,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
990,991,III,84766,0.0201582811827796,0.197480181720981,0.918753127181852,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
991,992,III,84780,-0.393735885339749,0.182930408150408,0.0320447965978775,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
992,993,III,84800,-0.873713621374617,0.463502884713738,0.0602479087796204,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
993,994,III,84802,-0.145374087241333,0.460476318431155,0.752413970094064,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
994,995,III,84803,-0.177341616946965,0.455367005795263,0.697179858886378,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
995,996,III,84937,-0.753073877682926,0.285765029026365,0.0087772119419743,Other features,LTR,YCLWdelta4,YCLWdelta4,SGDID:S000006826
996,997,III,90611,-1.60947462425791,0.792486271759486,0.0430123110198938,Other features,LTR retrotransposon,YCLWTy2-1,YCLWTy2-1,SGDID:S000006830
997,998,III,90716,-0.566697449754858,0.399819487371866,0.157252922889247,Other features,LTR retrotransposon,YCLWTy2-1,YCLWTy2-1,SGDID:S000006830
998,999,III,90723,-0.250081074695747,0.277127042275063,0.367456625304277,Other features,LTR retrotransposon,YCLWTy2-1,YCLWTy2-1,SGDID:S000006830
999,1000,III,90725,-0.293224605525998,0.278557013861744,0.293218876620154,Other features,LTR retrotransposon,YCLWTy2-1,YCLWTy2-1,SGDID:S000006830
1000,1001,III,90727,-0.340947260581793,0.275495461256021,0.216694935317172,Other features,LTR retrotransposon,YCLWTy2-1,YCLWTy2-1,SGDID:S000006830
1001,1002,III,92556,-0.339738601253884,0.164569689146688,0.0397093634377202,Promoter,Promoter,YCLWdelta2b_NFR/NDR,,
1002,1003,III,92671,-0.396152711435896,0.164373983645917,0.0164603210092545,Close to 3'-UTR,Close to 3'-UTR,YCL018W,LEU2,SGDID:S000000523
1003,1004,III,92716,-0.447336630597925,0.168423362430116,0.008265467991669,Close to 3'-UTR,Close to 3'-UTR,YCL018W,LEU2,SGDID:S000000523
1004,1005,III,92744,0.442293185809724,0.256634170386759,0.0856849103854493,Close to 3'-UTR,Close to 3'-UTR,YCL018W,LEU2,SGDID:S000000523
1005,1006,III,95493,-0.367182026691686,0.163090868390791,0.0249749955619835,ORF,Verified ORF,YCL016C,DCC1,SGDID:S000000521
1006,1007,III,96560,-0.285403922501259,0.160271606041017,0.0758129250730088,ORF,Verified ORF,YCL014W,BUD3,SGDID:S000000520
1007,1008,III,98535,-0.314209298609391,0.157296321547649,0.0465311218309944,ORF,Verified ORF,YCL014W,BUD3,SGDID:S000000520
1008,1009,III,100583,-0.334828522419427,0.15668586721663,0.0332896863122844,ORF,Verified ORF,YCL014W,BUD3,SGDID:S000000520
1009,1010,III,101685,-0.237137531864063,0.155577382923117,0.128343715393854,Close to 3'-UTR,Close to 3'-UTR,YCL014W,BUD3,SGDID:S000000520
1010,1011,III,101814,-0.253183256927807,0.156491557147795,0.106583413652916,Promoter,Promoter,YCL012C_NFR/NDR,,
1011,1012,III,105429,-0.254832147686058,0.152098369429121,0.0947328579789612,ORF,Verified ORF,YCL009C,ILV6,SGDID:S000000515
1012,1013,III,111179,-0.288544642434411,0.148790810999685,0.0532657325124221,ORF,Uncharacterized ORF,YCL002C,YCL002C,SGDID:S000000508
1013,1014,III,114371,-0.283749636017885,0.157103200559548,0.0717488204004599,Other features,Replication,ARS308,ARS308,SGDID:S000028485
1014,1015,III,114395,-0.500969338071068,0.194540861942889,0.0104265460381132,Other features,Replication,ARS308,ARS308,SGDID:S000028485
1015,1016,III,114885,-0.328643204214108,0.149423366356031,0.0284966829953718,Other features,Replication,ARS308,ARS308,SGDID:S000028485
1016,1017,III,118719,-0.311416971128327,0.14856675085476,0.0367811679718829,ORF,Verified ORF,YCR003W,MRPL32,SGDID:S000000596
1017,1018,III,119698,-0.292903408015608,0.149702816620951,0.0511866132711309,ORF,Verified ORF,YCR004C,YCP4,SGDID:S000000597
1018,1019,III,120341,-0.330752231010312,0.14911646087303,0.0271853448947452,Promoter,Promoter,CUT043_NFR/NDR,,
1019,1020,III,122628,-0.403365416507066,0.148081465686555,0.0067715667394693,ORF,Uncharacterized ORF,YCR006C,YCR006C,SGDID:S000000599
1020,1021,III,123478,-0.358896973281374,0.149406474579491,0.0168149497470786,Promoter,Promoter,tP(AGG)C_NFR/NDR,,
1021,1022,III,125079,-0.379765025776519,0.149979785673855,0.0117708646752035,Promoter,Promoter,SUT031_NFR/NDR,,
1022,1023,III,126125,-0.412132401901778,0.14833077580434,0.0057536128766062,ORF,Uncharacterized ORF,YCR007C,YCR007C,SGDID:S000000600
1023,1024,III,126954,-0.386906662064687,0.146911029464609,0.0088198566541411,Close to 3'-UTR,Close to 3'-UTR,YCR007C,YCR007C,SGDID:S000000600
1024,1025,III,130489,0.0506045787335108,0.2563930379724,0.843650732417041,Close to 3'-UTR,Close to 3'-UTR,YCR008W,SAT4,SGDID:S000000601
1025,1026,III,131971,-0.269906289853508,0.147114290840047,0.067395887231961,Unstable transcript,CUT,CUT044,,
1026,1027,III,134374,-0.419707545145594,0.14438774418022,0.0038820023151397,ORF,Verified ORF,YCR011C,ADP1,SGDID:S000000604
1027,1028,III,135728,-0.404938766918994,0.146138820067666,0.0058857648498945,ORF,Verified ORF,YCR011C,ADP1,SGDID:S000000604
1028,1029,III,135857,-0.404188501114561,0.144788397245483,0.0055304758607283,ORF,Verified ORF,YCR011C,ADP1,SGDID:S000000604
